"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5657","Asynchronously - Verify e2e shopping cart with user: visual_user:","firefox","Sun Sep 22 01:14:41 ICT 2024","passed","Sun Sep 22 01:14:46 ICT 2024","","demo.spec.ts","",""
"","8329","Verify e2e shopping cart for specific user","chromium","Sun Sep 22 01:14:41 ICT 2024","passed","Sun Sep 22 01:14:49 ICT 2024","","demo.spec.ts","",""
"","5302","Asynchronously - Verify e2e shopping cart with user: standard_user:","firefox","Sun Sep 22 01:14:41 ICT 2024","passed","Sun Sep 22 01:14:46 ICT 2024","","demo.spec.ts","",""
"","9259","Asynchronously - Verify e2e shopping cart with user: visual_user:","chromium","Sun Sep 22 01:14:41 ICT 2024","passed","Sun Sep 22 01:14:50 ICT 2024","","demo.spec.ts","",""
"","4807","Verify e2e shopping cart for specific user","firefox","Sun Sep 22 01:14:40 ICT 2024","passed","Sun Sep 22 01:14:45 ICT 2024","","demo.spec.ts","",""
"","6273","Asynchronously - Verify e2e shopping cart with user: visual_user:","webkit","Sun Sep 22 01:14:40 ICT 2024","passed","Sun Sep 22 01:14:47 ICT 2024","","demo.spec.ts","",""
"","9099","Asynchronously - Verify e2e shopping cart with user: standard_user:","chromium","Sun Sep 22 01:14:40 ICT 2024","passed","Sun Sep 22 01:14:50 ICT 2024","","demo.spec.ts","",""
"","6448","Asynchronously - Verify e2e shopping cart with user: standard_user:","webkit","Sun Sep 22 01:14:40 ICT 2024","passed","Sun Sep 22 01:14:47 ICT 2024","","demo.spec.ts","",""
"","4323","Verify e2e shopping cart for specific user","webkit","Sun Sep 22 01:14:47 ICT 2024","passed","Sun Sep 22 01:14:51 ICT 2024","","demo.spec.ts","",""
